,평점,일시,감상평
0,10,2014.02.06 03:17,"난 아직도 이 영화가 [용가리]보다 1년 먼저 나왔다는 사실이 믿기지 않는다. CG와 플롯, 배우들의 연기까지 [용가리]에 비하면 10점 만점을 줘도 아깝지 않을 작품이다."
1,10,2013.02.25 21:45,개인적으로 재미있게 본 영화이다. 특수효과도 좋고. 재작비 많이 든 것이 그리 산으로 간 것은 아닌듯한 괴수영화다.
2,5,2019.05.29 12:25,고질라 원작을 생각하니 얘는 고질라가 아니라 그냥 공룡이었음...원작을 몰랐다면 9점.
3,10,2014.09.17 10:51,고질라 2014 보다가 이거 보니까 정말 꿀잼 잘만든 영화중 하나임 동원참치도 깜짝출연함ㅋㅋㅋㅋ
4,10,2019.09.15 14:16,내 인생영화 고질라 쥬라기 공원 사랑합니다 7점대로 하기엔 너무 아까운 영화에요!!
5,5,2019.05.08 02:36,지금 보니 고질라가 티라노가 됐네 ㅋㅋ
6,10,2019.04.08 17:24,"스토리 전개, 개연성 탄탄, 캐릭터, 대사 재밌음. 오래된 영화인데도 이만한 괴수영화 없지요. 지금봐도 재밌는 영화!!!"
7,9,2017.06.08 13:00,옛날 영화지만 지금 나오는 그래픽 떡칠떡칠한 영화보다 훨씬 재미있다.
8,10,2016.07.29 21:39,팔점은 넘어야지 그래서 십점
9,7,2016.03.19 18:21,고질라 팬들에게는 당황스럽게 보일지 몰라도 괴수에게 동물성을 더욱 추가시킨게 마음에 들었다. 이정도면 괴수영화들중에서는 명작 개인적으로2014년에 리부트 된거보다 재미있었 습니다.
10,8,2013.01.19 12:51,"당시 라이언일병, 타이타닉, 쥬라기공원2에 가려서 그렇지... 15년전 영화라도 전혀 구린감이 없다.. 뉴욕에 등장하는 장면과 육해공으로 고질라 추격과 택시로 달아가는장면등.. 현재 한국영화도 이정도는 못만든다.."
11,9,2013.06.16 00:01,옛날 영화지만 지금 나오는 그래픽 떡칠떡칠한 영화보다 훨씬 재미있다.
